event,horizon,target_ts,reason,bar_ts,age_seconds,p,bid,ask,spread,trade_p,contracts_last_hour,active_minutes_last_hour
KXNBAGAME-26FEB12PORUTA,24h,1770861600,included,1770861600.0,0.0,0.275,0.27,0.28,0.010000000000000009,0.28,558.0,14.0
KXNBAGAME-26FEB12PORUTA,6h,1770926400,included,1770926400.0,0.0,0.28500000000000003,0.28,0.29,0.009999999999999953,0.29,8617.0,56.0
KXNBAGAME-26FEB12PORUTA,1h,1770944400,included,1770944400.0,0.0,0.315,0.31,0.32,0.010000000000000009,0.32,61680.0,60.0
KXNBAGAME-26FEB12PORUTA,5m,1770947700,included,1770947700.0,0.0,0.325,0.32,0.33,0.010000000000000009,0.33,54468.0,60.0
KXNBAGAME-26FEB12DALLAL,24h,1770865200,included,1770865200.0,0.0,0.695,0.69,0.7,0.010000000000000009,0.7,821.0,27.0
KXNBAGAME-26FEB12DALLAL,6h,1770930000,included,1770930000.0,0.0,0.715,0.71,0.72,0.010000000000000009,0.72,22885.0,60.0
KXNBAGAME-26FEB12DALLAL,1h,1770948000,included,1770948000.0,0.0,0.695,0.69,0.7,0.010000000000000009,0.7,180197.0,60.0
KXNBAGAME-26FEB12DALLAL,5m,1770951300,included,1770951300.0,0.0,0.695,0.69,0.7,0.010000000000000009,0.7,376452.0,60.0
KXNBAGAME-26FEB19ATLPHI,24h,1771459200,included,1771459200.0,0.0,0.535,0.53,0.54,0.010000000000000009,,5015.0,32.0
KXNBAGAME-26FEB19ATLPHI,6h,1771524000,included,1771523940.0,60.0,0.515,0.51,0.52,0.010000000000000009,0.52,17520.0,51.0
KXNBAGAME-26FEB19ATLPHI,1h,1771542000,included,1771542000.0,0.0,0.52,0.51,0.53,0.020000000000000018,0.53,34711.0,60.0
KXNBAGAME-26FEB19ATLPHI,5m,1771545300,included,1771545300.0,0.0,0.505,0.5,0.51,0.010000000000000009,0.51,177177.0,60.0
KXNBAGAME-26FEB19BKNCLE,24h,1771459200,bar_too_old,,180.0,,,,,,,
KXNBAGAME-26FEB19BKNCLE,6h,1771524000,included,1771524000.0,0.0,0.885,0.88,0.89,0.010000000000000009,,11616.0,39.0
KXNBAGAME-26FEB19BKNCLE,1h,1771542000,included,1771542000.0,0.0,0.885,0.88,0.89,0.010000000000000009,0.89,49456.0,56.0
KXNBAGAME-26FEB19BKNCLE,5m,1771545300,included,1771545300.0,0.0,0.895,0.89,0.9,0.010000000000000009,0.9,130877.0,59.0
KXNBAGAME-26FEB19HOUCHA,24h,1771459200,included,1771459200.0,0.0,0.365,0.36,0.37,0.010000000000000009,0.36,8446.0,35.0
KXNBAGAME-26FEB19HOUCHA,6h,1771524000,included,1771524000.0,0.0,0.375,0.37,0.38,0.010000000000000009,0.38,20471.0,54.0
KXNBAGAME-26FEB19HOUCHA,1h,1771542000,included,1771542000.0,0.0,0.375,0.37,0.38,0.010000000000000009,0.38,117805.0,60.0
KXNBAGAME-26FEB19HOUCHA,5m,1771545300,included,1771545300.0,0.0,0.375,0.37,0.38,0.010000000000000009,0.38,98991.0,60.0
KXNBAGAME-26FEB19INDWAS,24h,1771459200,included,1771459080.0,120.0,0.405,0.4,0.41,0.009999999999999953,,841.0,4.0
KXNBAGAME-26FEB19INDWAS,6h,1771524000,included,1771524000.0,0.0,0.455,0.45,0.46,0.010000000000000009,0.46,8239.0,26.0
KXNBAGAME-26FEB19INDWAS,1h,1771542000,included,1771542000.0,0.0,0.46499999999999997,0.46,0.47,0.009999999999999953,0.47,33526.0,55.0
KXNBAGAME-26FEB19INDWAS,5m,1771545300,included,1771545300.0,0.0,0.455,0.45,0.46,0.010000000000000009,0.46,29089.0,58.0
KXNBAGAME-26FEB19DETNYK,24h,1771461000,included,1771461000.0,0.0,0.62,0.61,0.63,0.020000000000000018,,6934.0,29.0
KXNBAGAME-26FEB19DETNYK,6h,1771525800,included,1771525800.0,0.0,0.595,0.59,0.6,0.010000000000000009,0.6,17293.0,53.0
KXNBAGAME-26FEB19DETNYK,1h,1771543800,included,1771543800.0,0.0,0.595,0.59,0.6,0.010000000000000009,0.6,82768.0,60.0
KXNBAGAME-26FEB19DETNYK,5m,1771547100,included,1771547100.0,0.0,0.605,0.6,0.61,0.010000000000000009,0.6,358244.0,60.0
KXNBAGAME-26FEB19TORCHI,24h,1771462800,included,1771462680.0,120.0,0.355,0.35,0.36,0.010000000000000009,,156.0,6.0
KXNBAGAME-26FEB19TORCHI,6h,1771527600,included,1771527540.0,60.0,0.325,0.32,0.33,0.010000000000000009,,2964.0,22.0
KXNBAGAME-26FEB19TORCHI,1h,1771545600,included,1771545600.0,0.0,0.325,0.32,0.33,0.010000000000000009,0.33,6543.0,45.0
KXNBAGAME-26FEB19TORCHI,5m,1771548900,included,1771548900.0,0.0,0.335,0.33,0.34,0.010000000000000009,0.34,24362.0,52.0
KXNBAGAME-26FEB19PHXSAS,24h,1771464600,included,1771464600.0,0.0,0.72,0.71,0.73,0.020000000000000018,,4012.0,16.0
KXNBAGAME-26FEB19PHXSAS,6h,1771529400,included,1771529400.0,0.0,0.715,0.71,0.72,0.010000000000000009,0.72,3840.0,48.0
KXNBAGAME-26FEB19PHXSAS,1h,1771547400,included,1771547400.0,0.0,0.725,0.72,0.73,0.010000000000000009,0.73,58780.0,58.0
KXNBAGAME-26FEB19PHXSAS,5m,1771550700,included,1771550700.0,0.0,0.725,0.72,0.73,0.010000000000000009,0.73,56995.0,60.0
KXNBAGAME-26FEB19BOSGSW,24h,1771470000,included,1771470000.0,0.0,0.335,0.33,0.34,0.010000000000000009,0.34,1253.0,30.0
KXNBAGAME-26FEB19BOSGSW,6h,1771534800,included,1771534800.0,0.0,0.335,0.33,0.34,0.010000000000000009,0.34,6175.0,50.0
KXNBAGAME-26FEB19BOSGSW,1h,1771552800,included,1771552800.0,0.0,0.325,0.32,0.33,0.010000000000000009,0.33,12650.0,59.0
KXNBAGAME-26FEB19BOSGSW,5m,1771556100,included,1771556100.0,0.0,0.335,0.33,0.34,0.010000000000000009,0.34,129572.0,60.0
KXNBAGAME-26FEB19ORLSAC,24h,1771470000,included,1771470000.0,0.0,0.225,0.22,0.23,0.010000000000000009,,163.0,6.0
KXNBAGAME-26FEB19ORLSAC,6h,1771534800,included,1771534800.0,0.0,0.235,0.23,0.24,0.009999999999999981,,29822.0,32.0
KXNBAGAME-26FEB19ORLSAC,1h,1771552800,included,1771552800.0,0.0,0.24,0.23,0.25,0.01999999999999999,0.25,7045.0,43.0
KXNBAGAME-26FEB19ORLSAC,5m,1771556100,included,1771556100.0,0.0,0.245,0.24,0.25,0.010000000000000009,0.25,113400.0,58.0
KXNBAGAME-26FEB19DENLAC,24h,1771471800,included,1771471680.0,120.0,0.38,0.37,0.39,0.020000000000000018,,320.0,7.0
KXNBAGAME-26FEB19DENLAC,6h,1771536600,included,1771536600.0,0.0,0.375,0.37,0.38,0.010000000000000009,,2394.0,33.0
KXNBAGAME-26FEB19DENLAC,1h,1771554600,included,1771554600.0,0.0,0.375,0.37,0.38,0.010000000000000009,0.38,12471.0,55.0
KXNBAGAME-26FEB19DENLAC,5m,1771557900,included,1771557900.0,0.0,0.375,0.37,0.38,0.010000000000000009,0.38,93039.0,60.0
KXNBAGAME-26FEB20CLECHA,24h,1771545600,bar_too_old,,1320.0,,,,,,,
KXNBAGAME-26FEB20CLECHA,6h,1771610400,included,1771610400.0,0.0,0.325,0.32,0.33,0.010000000000000009,0.33,10726.0,46.0
KXNBAGAME-26FEB20CLECHA,1h,1771628400,included,1771628400.0,0.0,0.345,0.34,0.35,0.009999999999999953,0.35,44019.0,59.0
KXNBAGAME-26FEB20CLECHA,5m,1771631700,included,1771631700.0,0.0,0.345,0.34,0.35,0.009999999999999953,0.34,90160.0,60.0
KXNBAGAME-26FEB20INDWAS,24h,1771545600,included,1771545600.0,0.0,0.46499999999999997,0.46,0.47,0.009999999999999953,0.47,881.0,8.0
KXNBAGAME-26FEB20INDWAS,6h,1771610400,included,1771610400.0,0.0,0.505,0.5,0.51,0.010000000000000009,,8896.0,36.0
KXNBAGAME-26FEB20INDWAS,1h,1771628400,included,1771628400.0,0.0,0.525,0.52,0.53,0.010000000000000009,0.53,23839.0,58.0
KXNBAGAME-26FEB20INDWAS,5m,1771631700,included,1771631700.0,0.0,0.515,0.51,0.52,0.010000000000000009,0.52,81228.0,59.0
KXNBAGAME-26FEB20UTAMEM,24h,1771545600,included,1771545600.0,0.0,0.595,0.59,0.6,0.010000000000000009,,756.0,11.0
KXNBAGAME-26FEB20UTAMEM,6h,1771610400,included,1771610400.0,0.0,0.545,0.54,0.55,0.010000000000000009,0.55,6162.0,48.0
KXNBAGAME-26FEB20UTAMEM,1h,1771628400,included,1771628400.0,0.0,0.565,0.56,0.57,0.009999999999999898,0.57,36912.0,55.0
KXNBAGAME-26FEB20UTAMEM,5m,1771631700,included,1771631700.0,0.0,0.565,0.56,0.57,0.009999999999999898,0.57,66934.0,58.0
KXNBAGAME-26FEB20DALMIN,24h,1771547400,bar_too_old,,480.0,,,,,,,
KXNBAGAME-26FEB20DALMIN,6h,1771612200,included,1771612140.0,60.0,0.865,0.86,0.87,0.010000000000000009,0.87,84503.0,21.0
KXNBAGAME-26FEB20DALMIN,1h,1771630200,included,1771630200.0,0.0,0.855,0.85,0.86,0.010000000000000009,0.86,108529.0,59.0
KXNBAGAME-26FEB20DALMIN,5m,1771633500,included,1771633500.0,0.0,0.855,0.85,0.86,0.010000000000000009,0.86,110739.0,59.0
KXNBAGAME-26FEB20MIAATL,24h,1771547400,included,1771547400.0,0.0,0.42,0.41,0.43,0.020000000000000018,,575.0,3.0
KXNBAGAME-26FEB20MIAATL,6h,1771612200,included,1771612200.0,0.0,0.405,0.4,0.41,0.009999999999999953,0.41,5122.0,42.0
KXNBAGAME-26FEB20MIAATL,1h,1771630200,included,1771630200.0,0.0,0.435,0.43,0.44,0.010000000000000009,0.44,25672.0,59.0
KXNBAGAME-26FEB20MIAATL,5m,1771633500,included,1771633500.0,0.0,0.435,0.43,0.44,0.010000000000000009,0.44,36783.0,60.0
KXNBAGAME-26FEB20BKNOKC,24h,1771549200,bar_too_old,,180.0,,,,,,,
KXNBAGAME-26FEB20BKNOKC,6h,1771614000,included,1771614000.0,0.0,0.925,0.92,0.93,0.010000000000000009,0.92,4529.0,26.0
KXNBAGAME-26FEB20BKNOKC,1h,1771632000,included,1771632000.0,0.0,0.905,0.9,0.91,0.010000000000000009,0.91,50908.0,54.0
KXNBAGAME-26FEB20BKNOKC,5m,1771635300,included,1771635300.0,0.0,0.895,0.89,0.9,0.010000000000000009,,106766.0,53.0
KXNBAGAME-26FEB20MILNOP,24h,1771549200,bar_too_old,,180.0,,,,,,,
KXNBAGAME-26FEB20MILNOP,6h,1771614000,included,1771614000.0,0.0,0.605,0.6,0.61,0.010000000000000009,,7428.0,32.0
KXNBAGAME-26FEB20MILNOP,1h,1771632000,included,1771632000.0,0.0,0.615,0.61,0.62,0.010000000000000009,0.62,5421.0,51.0
KXNBAGAME-26FEB20MILNOP,5m,1771635300,included,1771635300.0,0.0,0.615,0.61,0.62,0.010000000000000009,0.62,50927.0,50.0
KXNBAGAME-26FEB20DENPOR,24h,1771556400,bar_too_old,,360.0,,,,,,,
KXNBAGAME-26FEB20DENPOR,6h,1771621200,included,1771621200.0,0.0,0.485,0.48,0.49,0.010000000000000009,0.49,1193.0,30.0
KXNBAGAME-26FEB20DENPOR,1h,1771639200,included,1771639200.0,0.0,0.515,0.51,0.52,0.010000000000000009,0.52,26953.0,51.0
KXNBAGAME-26FEB20DENPOR,5m,1771642500,included,1771642500.0,0.0,0.475,0.47,0.48,0.010000000000000009,0.48,213214.0,58.0
KXNBAGAME-26FEB20LACLAL,24h,1771556400,included,1771556400.0,0.0,0.705,0.69,0.72,0.030000000000000027,,790.0,22.0
KXNBAGAME-26FEB20LACLAL,6h,1771621200,included,1771621200.0,0.0,0.705,0.7,0.71,0.010000000000000009,0.71,27390.0,52.0
KXNBAGAME-26FEB20LACLAL,1h,1771639200,included,1771639200.0,0.0,0.685,0.68,0.69,0.009999999999999898,0.69,46172.0,59.0
KXNBAGAME-26FEB20LACLAL,5m,1771642500,included,1771642500.0,0.0,0.695,0.69,0.7,0.010000000000000009,0.7,239964.0,60.0
KXNBAGAME-26FEB21ORLPHX,24h,1771624800,bar_too_old,,240.0,,,,,,,
KXNBAGAME-26FEB21ORLPHX,6h,1771689600,included,1771689600.0,0.0,0.535,0.53,0.54,0.010000000000000009,0.54,12296.0,50.0
KXNBAGAME-26FEB21ORLPHX,1h,1771707600,included,1771707600.0,0.0,0.565,0.56,0.57,0.009999999999999898,0.57,30806.0,59.0
KXNBAGAME-26FEB21ORLPHX,5m,1771710900,included,1771710900.0,0.0,0.595,0.59,0.6,0.010000000000000009,0.6,87085.0,60.0
KXNBAGAME-26FEB21PHINOP,24h,1771632000,bar_too_old,,360.0,,,,,,,
KXNBAGAME-26FEB21PHINOP,6h,1771696800,included,1771696740.0,60.0,0.405,0.4,0.41,0.009999999999999953,0.41,2223.0,19.0
KXNBAGAME-26FEB21PHINOP,1h,1771714800,included,1771714800.0,0.0,0.395,0.39,0.4,0.010000000000000009,0.4,5640.0,44.0
KXNBAGAME-26FEB21PHINOP,5m,1771718100,included,1771718100.0,0.0,0.395,0.39,0.4,0.010000000000000009,0.4,11293.0,53.0
KXNBAGAME-26FEB21DETCHI,24h,1771635600,included,1771635540.0,60.0,0.22,0.21,0.23,0.020000000000000018,,248.0,12.0
KXNBAGAME-26FEB21DETCHI,6h,1771700400,included,1771700400.0,0.0,0.175,0.17,0.18,0.009999999999999981,,3797.0,32.0
KXNBAGAME-26FEB21DETCHI,1h,1771718400,included,1771718400.0,0.0,0.175,0.17,0.18,0.009999999999999981,0.18,19455.0,53.0
KXNBAGAME-26FEB21DETCHI,5m,1771721700,included,1771721700.0,0.0,0.175,0.17,0.18,0.009999999999999981,0.18,57211.0,54.0
KXNBAGAME-26FEB21MEMMIA,24h,1771635600,bar_too_old,,480.0,,,,,,,
KXNBAGAME-26FEB21MEMMIA,6h,1771700400,included,1771700400.0,0.0,0.835,0.83,0.84,0.010000000000000009,,54038.0,27.0
KXNBAGAME-26FEB21MEMMIA,1h,1771718400,included,1771718400.0,0.0,0.825,0.82,0.83,0.010000000000000009,0.83,23535.0,44.0
KXNBAGAME-26FEB21MEMMIA,5m,1771721700,included,1771721700.0,0.0,0.815,0.81,0.82,0.009999999999999898,0.81,68162.0,49.0
KXNBAGAME-26FEB21SACSAS,24h,1771635600,included,1771635600.0,0.0,0.925,0.92,0.93,0.010000000000000009,0.92,7453.0,16.0
KXNBAGAME-26FEB21SACSAS,6h,1771700400,included,1771700400.0,0.0,0.925,0.92,0.93,0.010000000000000009,,31748.0,39.0
KXNBAGAME-26FEB21SACSAS,1h,1771718400,included,1771718400.0,0.0,0.925,0.92,0.93,0.010000000000000009,0.93,50141.0,53.0
KXNBAGAME-26FEB21SACSAS,5m,1771721700,included,1771721700.0,0.0,0.925,0.92,0.93,0.010000000000000009,0.93,159125.0,56.0
KXNBAGAME-26FEB21HOUNYK,24h,1771637400,bar_too_old,,300.0,,,,,,,
KXNBAGAME-26FEB21HOUNYK,6h,1771702200,included,1771702200.0,0.0,0.595,0.59,0.6,0.010000000000000009,0.6,10879.0,52.0
KXNBAGAME-26FEB21HOUNYK,1h,1771720200,included,1771720200.0,0.0,0.6,0.59,0.61,0.020000000000000018,0.61,63557.0,60.0
KXNBAGAME-26FEB21HOUNYK,5m,1771723500,included,1771723500.0,0.0,0.605,0.6,0.61,0.010000000000000009,0.6,223630.0,60.0
KXNBAGAME-26FEB22CLEOKC,24h,1771696800,included,1771696740.0,60.0,0.515,0.5,0.53,0.030000000000000027,0.53,3041.0,24.0
KXNBAGAME-26FEB22CLEOKC,6h,1771761600,included,1771761600.0,0.0,0.405,0.4,0.41,0.009999999999999953,,27293.0,44.0
KXNBAGAME-26FEB22CLEOKC,1h,1771779600,included,1771779600.0,0.0,0.375,0.37,0.38,0.010000000000000009,0.38,149630.0,60.0
KXNBAGAME-26FEB22CLEOKC,5m,1771782900,included,1771782900.0,0.0,0.385,0.38,0.39,0.010000000000000009,0.39,216669.0,60.0
KXNBAGAME-26FEB22BKNATL,24h,1771705800,bar_too_old,,540.0,,,,,,,
KXNBAGAME-26FEB22BKNATL,6h,1771770600,included,1771770600.0,0.0,0.795,0.79,0.8,0.010000000000000009,0.8,4646.0,28.0
KXNBAGAME-26FEB22BKNATL,1h,1771788600,included,1771788600.0,0.0,0.785,0.78,0.79,0.010000000000000009,0.79,18169.0,53.0
KXNBAGAME-26FEB22BKNATL,5m,1771791900,included,1771791900.0,0.0,0.785,0.78,0.79,0.010000000000000009,0.79,15197.0,51.0
KXNBAGAME-26FEB22DENGSW,24h,1771705800,included,1771705800.0,0.0,0.35,0.34,0.36,0.019999999999999962,,114.0,7.0
KXNBAGAME-26FEB22DENGSW,6h,1771770600,included,1771770600.0,0.0,0.315,0.31,0.32,0.010000000000000009,0.32,1583.0,28.0
KXNBAGAME-26FEB22DENGSW,1h,1771788600,included,1771788600.0,0.0,0.31,0.3,0.32,0.020000000000000018,0.32,61863.0,58.0
KXNBAGAME-26FEB22DENGSW,5m,1771791900,included,1771791900.0,0.0,0.315,0.31,0.32,0.010000000000000009,0.32,63432.0,59.0
KXNBAGAME-26FEB22TORMIL,24h,1771705800,bar_too_old,,600.0,,,,,,,
KXNBAGAME-26FEB22TORMIL,6h,1771770600,included,1771770600.0,0.0,0.425,0.42,0.43,0.010000000000000009,,2213.0,32.0
KXNBAGAME-26FEB22TORMIL,1h,1771788600,included,1771788600.0,0.0,0.415,0.41,0.42,0.010000000000000009,0.42,33758.0,56.0
KXNBAGAME-26FEB22TORMIL,5m,1771791900,included,1771791900.0,0.0,0.395,0.39,0.4,0.010000000000000009,0.4,44586.0,59.0
KXNBAGAME-26FEB22DALIND,24h,1771711200,included,1771711200.0,0.0,0.475,0.46,0.49,0.02999999999999997,0.49,188.0,11.0
KXNBAGAME-26FEB22DALIND,6h,1771776000,included,1771776000.0,0.0,0.46499999999999997,0.46,0.47,0.009999999999999953,,1753.0,23.0
KXNBAGAME-26FEB22DALIND,1h,1771794000,included,1771794000.0,0.0,0.5,0.49,0.51,0.020000000000000018,0.51,36180.0,47.0
KXNBAGAME-26FEB22DALIND,5m,1771797300,included,1771797300.0,0.0,0.485,0.48,0.49,0.010000000000000009,0.49,53355.0,56.0
KXNBAGAME-26FEB22CHAWAS,24h,1771714800,included,1771714740.0,60.0,0.19,0.18,0.2,0.020000000000000018,,542.0,7.0
KXNBAGAME-26FEB22CHAWAS,6h,1771779600,included,1771779600.0,0.0,0.165,0.16,0.17,0.010000000000000009,0.17,6064.0,41.0
KXNBAGAME-26FEB22CHAWAS,1h,1771797600,included,1771797600.0,0.0,0.175,0.17,0.18,0.009999999999999981,0.18,18412.0,55.0
KXNBAGAME-26FEB22CHAWAS,5m,1771800900,included,1771800900.0,0.0,0.195,0.19,0.2,0.010000000000000009,0.2,60298.0,60.0
KXNBAGAME-26FEB22BOSLAL,24h,1771716600,included,1771716540.0,60.0,0.48,0.47,0.49,0.020000000000000018,,1026.0,19.0
KXNBAGAME-26FEB22BOSLAL,6h,1771781400,included,1771781400.0,0.0,0.475,0.47,0.48,0.010000000000000009,0.47,54216.0,60.0
KXNBAGAME-26FEB22BOSLAL,1h,1771799400,included,1771799400.0,0.0,0.495,0.49,0.5,0.010000000000000009,0.5,133683.0,60.0
KXNBAGAME-26FEB22BOSLAL,5m,1771802700,included,1771802700.0,0.0,0.485,0.48,0.49,0.010000000000000009,0.49,1027868.0,60.0
KXNBAGAME-26FEB22PHIMIN,24h,1771718400,included,1771718340.0,60.0,0.745,0.74,0.75,0.010000000000000009,,18.0,3.0
KXNBAGAME-26FEB22PHIMIN,6h,1771783200,included,1771783200.0,0.0,0.755,0.75,0.76,0.010000000000000009,,5183.0,34.0
KXNBAGAME-26FEB22PHIMIN,1h,1771801200,included,1771801200.0,0.0,0.76,0.75,0.77,0.020000000000000018,0.77,18503.0,51.0
KXNBAGAME-26FEB22PHIMIN,5m,1771804500,included,1771804500.0,0.0,0.76,0.75,0.77,0.020000000000000018,0.77,56364.0,60.0
KXNBAGAME-26FEB22NYKCHI,24h,1771722000,included,1771722000.0,0.0,0.2,0.19,0.21,0.01999999999999999,,139.0,4.0
KXNBAGAME-26FEB22NYKCHI,6h,1771786800,included,1771786800.0,0.0,0.20500000000000002,0.2,0.21,0.009999999999999981,0.21,2681.0,30.0
KXNBAGAME-26FEB22NYKCHI,1h,1771804800,included,1771804800.0,0.0,0.20500000000000002,0.2,0.21,0.009999999999999981,0.21,26140.0,58.0
KXNBAGAME-26FEB22NYKCHI,5m,1771808100,included,1771808100.0,0.0,0.215,0.21,0.22,0.010000000000000009,0.22,92822.0,60.0
KXNBAGAME-26FEB22PORPHX,24h,1771722000,included,1771722000.0,0.0,0.415,0.41,0.42,0.010000000000000009,0.41,13157.0,19.0
KXNBAGAME-26FEB22PORPHX,6h,1771786800,included,1771786800.0,0.0,0.415,0.41,0.42,0.010000000000000009,0.42,27227.0,51.0
KXNBAGAME-26FEB22PORPHX,1h,1771804800,included,1771804800.0,0.0,0.435,0.43,0.44,0.010000000000000009,0.44,59822.0,60.0
KXNBAGAME-26FEB22PORPHX,5m,1771808100,included,1771808100.0,0.0,0.405,0.4,0.41,0.009999999999999953,0.41,118184.0,60.0
KXNBAGAME-26FEB22ORLLAC,24h,1771725600,bar_too_old,,360.0,,,,,,,
KXNBAGAME-26FEB22ORLLAC,6h,1771790400,included,1771790400.0,0.0,0.54,0.53,0.55,0.020000000000000018,0.55,3085.0,46.0
KXNBAGAME-26FEB22ORLLAC,1h,1771808400,included,1771808400.0,0.0,0.635,0.63,0.64,0.010000000000000009,0.64,75127.0,59.0
KXNBAGAME-26FEB22ORLLAC,5m,1771811700,included,1771811700.0,0.0,0.615,0.61,0.62,0.010000000000000009,0.62,196784.0,60.0
KXNBAGAME-26FEB23SASDET,24h,1771804800,included,1771804800.0,0.0,0.55,0.54,0.56,0.020000000000000018,,6627.0,27.0
KXNBAGAME-26FEB23SASDET,6h,1771869600,included,1771869600.0,0.0,0.525,0.52,0.53,0.010000000000000009,0.53,31848.0,60.0
KXNBAGAME-26FEB23SASDET,1h,1771887600,included,1771887600.0,0.0,0.525,0.52,0.53,0.010000000000000009,0.53,139659.0,60.0
KXNBAGAME-26FEB23SASDET,5m,1771890900,included,1771890900.0,0.0,0.525,0.52,0.53,0.010000000000000009,0.53,372406.0,60.0
KXNBAGAME-26FEB23SACMEM,24h,1771808400,included,1771808400.0,0.0,0.635,0.62,0.65,0.030000000000000027,0.65,3126.0,31.0
KXNBAGAME-26FEB23SACMEM,6h,1771873200,included,1771873200.0,0.0,0.58,0.57,0.59,0.020000000000000018,0.59,29533.0,58.0
KXNBAGAME-26FEB23SACMEM,1h,1771891200,included,1771891200.0,0.0,0.565,0.56,0.57,0.009999999999999898,0.57,154830.0,60.0
KXNBAGAME-26FEB23SACMEM,5m,1771894500,included,1771894500.0,0.0,0.575,0.57,0.58,0.010000000000000009,0.58,228879.0,60.0
