event,ticker,league,market_type,home,away,start_ts,start_utc,schedule_source,schedule_updated_at,milestone_id,result,settled_ts,occurrence_ts,archived,bar_count,day,split,horizon,target_ts,reason,bar_ts,age_seconds,p,bid,ask,spread,trade_p,contracts_last_hour,active_minutes_last_hour
KXNBAGAME-26FEB12PORUTA,KXNBAGAME-26FEB12PORUTA-UTA,NBA,winner,Utah,Portland,1770948000,2026-02-13T02:00:00+00:00,kalshi_milestone_start_date,2026-03-26T07:28:44.964714Z,cedcc13b-25fa-45ec-873a-4c5b33fd162a,0,1770957781,,True,1208,2026-02-13,train,24h,1770861600,included,1770861600,0,0.275,0.27,0.28,0.010000000000000009,0.28,558.0,14
KXNBAGAME-26FEB12PORUTA,KXNBAGAME-26FEB12PORUTA-UTA,NBA,winner,Utah,Portland,1770948000,2026-02-13T02:00:00+00:00,kalshi_milestone_start_date,2026-03-26T07:28:44.964714Z,cedcc13b-25fa-45ec-873a-4c5b33fd162a,0,1770957781,,True,1208,2026-02-13,train,6h,1770926400,included,1770926400,0,0.28500000000000003,0.28,0.29,0.009999999999999953,0.29,8617.0,56
KXNBAGAME-26FEB12PORUTA,KXNBAGAME-26FEB12PORUTA-UTA,NBA,winner,Utah,Portland,1770948000,2026-02-13T02:00:00+00:00,kalshi_milestone_start_date,2026-03-26T07:28:44.964714Z,cedcc13b-25fa-45ec-873a-4c5b33fd162a,0,1770957781,,True,1208,2026-02-13,train,1h,1770944400,included,1770944400,0,0.315,0.31,0.32,0.010000000000000009,0.32,61680.0,60
KXNBAGAME-26FEB12PORUTA,KXNBAGAME-26FEB12PORUTA-UTA,NBA,winner,Utah,Portland,1770948000,2026-02-13T02:00:00+00:00,kalshi_milestone_start_date,2026-03-26T07:28:44.964714Z,cedcc13b-25fa-45ec-873a-4c5b33fd162a,0,1770957781,,True,1208,2026-02-13,train,5m,1770947700,included,1770947700,0,0.325,0.32,0.33,0.010000000000000009,0.33,54468.0,60
KXNBAGAME-26FEB12DALLAL,KXNBAGAME-26FEB12DALLAL-LAL,NBA,winner,Los Angeles L,Dallas,1770951600,2026-02-13T03:00:00+00:00,kalshi_milestone_start_date,2026-03-26T07:28:48.23762Z,eb2d758d-08a6-473e-959a-276e1cd34bc8,1,1770961141,,True,1306,2026-02-13,train,24h,1770865200,included,1770865200,0,0.695,0.69,0.7,0.010000000000000009,0.7,821.0,27
KXNBAGAME-26FEB12DALLAL,KXNBAGAME-26FEB12DALLAL-LAL,NBA,winner,Los Angeles L,Dallas,1770951600,2026-02-13T03:00:00+00:00,kalshi_milestone_start_date,2026-03-26T07:28:48.23762Z,eb2d758d-08a6-473e-959a-276e1cd34bc8,1,1770961141,,True,1306,2026-02-13,train,6h,1770930000,included,1770930000,0,0.715,0.71,0.72,0.010000000000000009,0.72,22885.0,60
KXNBAGAME-26FEB12DALLAL,KXNBAGAME-26FEB12DALLAL-LAL,NBA,winner,Los Angeles L,Dallas,1770951600,2026-02-13T03:00:00+00:00,kalshi_milestone_start_date,2026-03-26T07:28:48.23762Z,eb2d758d-08a6-473e-959a-276e1cd34bc8,1,1770961141,,True,1306,2026-02-13,train,1h,1770948000,included,1770948000,0,0.695,0.69,0.7,0.010000000000000009,0.7,180197.0,60
KXNBAGAME-26FEB12DALLAL,KXNBAGAME-26FEB12DALLAL-LAL,NBA,winner,Los Angeles L,Dallas,1770951600,2026-02-13T03:00:00+00:00,kalshi_milestone_start_date,2026-03-26T07:28:48.23762Z,eb2d758d-08a6-473e-959a-276e1cd34bc8,1,1770961141,,True,1306,2026-02-13,train,5m,1770951300,included,1770951300,0,0.695,0.69,0.7,0.010000000000000009,0.7,376452.0,60
KXNBAGAME-26FEB19ATLPHI,KXNBAGAME-26FEB19ATLPHI-PHI,NBA,winner,Philadelphia,Atlanta,1771545600,2026-02-20T00:00:00+00:00,kalshi_milestone_start_date,2026-03-26T07:28:26.376871Z,5cb6941f-c3f7-4849-8618-489895938bf1,0,1771555940,,True,1194,2026-02-20,train,24h,1771459200,included,1771459200,0,0.535,0.53,0.54,0.010000000000000009,,5015.0,32
KXNBAGAME-26FEB19ATLPHI,KXNBAGAME-26FEB19ATLPHI-PHI,NBA,winner,Philadelphia,Atlanta,1771545600,2026-02-20T00:00:00+00:00,kalshi_milestone_start_date,2026-03-26T07:28:26.376871Z,5cb6941f-c3f7-4849-8618-489895938bf1,0,1771555940,,True,1194,2026-02-20,train,6h,1771524000,included,1771523940,60,0.515,0.51,0.52,0.010000000000000009,0.52,17520.0,51
KXNBAGAME-26FEB19ATLPHI,KXNBAGAME-26FEB19ATLPHI-PHI,NBA,winner,Philadelphia,Atlanta,1771545600,2026-02-20T00:00:00+00:00,kalshi_milestone_start_date,2026-03-26T07:28:26.376871Z,5cb6941f-c3f7-4849-8618-489895938bf1,0,1771555940,,True,1194,2026-02-20,train,1h,1771542000,included,1771542000,0,0.52,0.51,0.53,0.020000000000000018,0.53,34711.0,60
KXNBAGAME-26FEB19ATLPHI,KXNBAGAME-26FEB19ATLPHI-PHI,NBA,winner,Philadelphia,Atlanta,1771545600,2026-02-20T00:00:00+00:00,kalshi_milestone_start_date,2026-03-26T07:28:26.376871Z,5cb6941f-c3f7-4849-8618-489895938bf1,0,1771555940,,True,1194,2026-02-20,train,5m,1771545300,included,1771545300,0,0.505,0.5,0.51,0.010000000000000009,0.51,177177.0,60
KXNBAGAME-26FEB19BKNCLE,KXNBAGAME-26FEB19BKNCLE-CLE,NBA,winner,Cleveland,Brooklyn,1771545600,2026-02-20T00:00:00+00:00,kalshi_milestone_start_date,2026-03-26T07:28:37.049414Z,7e3e23f3-6025-4aea-b7de-19e46ae14712,1,1771554760,,True,1127,2026-02-20,train,6h,1771524000,included,1771524000,0,0.885,0.88,0.89,0.010000000000000009,,11616.0,39
KXNBAGAME-26FEB19BKNCLE,KXNBAGAME-26FEB19BKNCLE-CLE,NBA,winner,Cleveland,Brooklyn,1771545600,2026-02-20T00:00:00+00:00,kalshi_milestone_start_date,2026-03-26T07:28:37.049414Z,7e3e23f3-6025-4aea-b7de-19e46ae14712,1,1771554760,,True,1127,2026-02-20,train,1h,1771542000,included,1771542000,0,0.885,0.88,0.89,0.010000000000000009,0.89,49456.0,56
KXNBAGAME-26FEB19BKNCLE,KXNBAGAME-26FEB19BKNCLE-CLE,NBA,winner,Cleveland,Brooklyn,1771545600,2026-02-20T00:00:00+00:00,kalshi_milestone_start_date,2026-03-26T07:28:37.049414Z,7e3e23f3-6025-4aea-b7de-19e46ae14712,1,1771554760,,True,1127,2026-02-20,train,5m,1771545300,included,1771545300,0,0.895,0.89,0.9,0.010000000000000009,0.9,130877.0,59
KXNBAGAME-26FEB19HOUCHA,KXNBAGAME-26FEB19HOUCHA-CHA,NBA,winner,Charlotte,Houston,1771545600,2026-02-20T00:00:00+00:00,kalshi_milestone_start_date,2026-03-26T07:28:37.51709Z,7566d5c5-7fd3-467f-b91f-5175375530fb,0,1771554970,,True,1233,2026-02-20,train,24h,1771459200,included,1771459200,0,0.365,0.36,0.37,0.010000000000000009,0.36,8446.0,35
KXNBAGAME-26FEB19HOUCHA,KXNBAGAME-26FEB19HOUCHA-CHA,NBA,winner,Charlotte,Houston,1771545600,2026-02-20T00:00:00+00:00,kalshi_milestone_start_date,2026-03-26T07:28:37.51709Z,7566d5c5-7fd3-467f-b91f-5175375530fb,0,1771554970,,True,1233,2026-02-20,train,6h,1771524000,included,1771524000,0,0.375,0.37,0.38,0.010000000000000009,0.38,20471.0,54
KXNBAGAME-26FEB19HOUCHA,KXNBAGAME-26FEB19HOUCHA-CHA,NBA,winner,Charlotte,Houston,1771545600,2026-02-20T00:00:00+00:00,kalshi_milestone_start_date,2026-03-26T07:28:37.51709Z,7566d5c5-7fd3-467f-b91f-5175375530fb,0,1771554970,,True,1233,2026-02-20,train,1h,1771542000,included,1771542000,0,0.375,0.37,0.38,0.010000000000000009,0.38,117805.0,60
KXNBAGAME-26FEB19HOUCHA,KXNBAGAME-26FEB19HOUCHA-CHA,NBA,winner,Charlotte,Houston,1771545600,2026-02-20T00:00:00+00:00,kalshi_milestone_start_date,2026-03-26T07:28:37.51709Z,7566d5c5-7fd3-467f-b91f-5175375530fb,0,1771554970,,True,1233,2026-02-20,train,5m,1771545300,included,1771545300,0,0.375,0.37,0.38,0.010000000000000009,0.38,98991.0,60
KXNBAGAME-26FEB19INDWAS,KXNBAGAME-26FEB19INDWAS-WAS,NBA,winner,Washington,Indiana,1771545600,2026-02-20T00:00:00+00:00,kalshi_milestone_start_date,2026-03-26T07:28:30.10531Z,dfed0a63-acd6-4827-83c6-ad218f02a2a1,1,1771555940,,True,824,2026-02-20,train,24h,1771459200,included,1771459080,120,0.405,0.4,0.41,0.009999999999999953,,841.0,4
KXNBAGAME-26FEB19INDWAS,KXNBAGAME-26FEB19INDWAS-WAS,NBA,winner,Washington,Indiana,1771545600,2026-02-20T00:00:00+00:00,kalshi_milestone_start_date,2026-03-26T07:28:30.10531Z,dfed0a63-acd6-4827-83c6-ad218f02a2a1,1,1771555940,,True,824,2026-02-20,train,6h,1771524000,included,1771524000,0,0.455,0.45,0.46,0.010000000000000009,0.46,8239.0,26
KXNBAGAME-26FEB19INDWAS,KXNBAGAME-26FEB19INDWAS-WAS,NBA,winner,Washington,Indiana,1771545600,2026-02-20T00:00:00+00:00,kalshi_milestone_start_date,2026-03-26T07:28:30.10531Z,dfed0a63-acd6-4827-83c6-ad218f02a2a1,1,1771555940,,True,824,2026-02-20,train,1h,1771542000,included,1771542000,0,0.46499999999999997,0.46,0.47,0.009999999999999953,0.47,33526.0,55
KXNBAGAME-26FEB19INDWAS,KXNBAGAME-26FEB19INDWAS-WAS,NBA,winner,Washington,Indiana,1771545600,2026-02-20T00:00:00+00:00,kalshi_milestone_start_date,2026-03-26T07:28:30.10531Z,dfed0a63-acd6-4827-83c6-ad218f02a2a1,1,1771555940,,True,824,2026-02-20,train,5m,1771545300,included,1771545300,0,0.455,0.45,0.46,0.010000000000000009,0.46,29089.0,58
